Package,CISCO Installed,CISCO Latest,CISCO Status,CISCO Source,USA Installed,USA Latest,USA Status,USA Source,EMEA Installed,EMEA Latest,EMEA Status,EMEA Source,Global1 Installed,Global1 Latest,Global1 Status,Global1 Source,Global2 Installed,Global2 Latest,Global2 Status,Global2 Source,Global3 Installed,Global3 Latest,Global3 Status,Global3 Source
2tvenom/cborencode,1.0.2,1.0.2,Up to Date,packagist,1.0.2,1.0.2,Up to Date,packagist,1.0.2,1.0.2,Up to Date,packagist,1.0.2,1.0.2,Up to Date,packagist,1.0.2,1.0.2,Up to Date,packagist,1.0.2,1.0.2,Up to Date,packagist
aheadworks/module-blog,2.15.0,Error,Error,,,,,,,,,,,,,,,,,,,,,
aheadworks/module-ca,,,,,1.7.2,N/A,Unavailable,private_repo,1.7.2,2.0.0,Update Available,private_repo,,,,,,,,,,,,
aheadworks/module-credit-limit,,,,,1.1.1,N/A,Unavailable,private_repo,1.1.1,1.4.1,Update Available,private_repo,,,,,,,,,,,,
aheadworks/module-ui-components,,,,,1.0.1,N/A,Unavailable,private_repo,1.0.1,1.0.6,Update Available,private_repo,,,,,,,,,,,,
allure-framework/allure-codeception,,,,,1.5.2,,Skipped,,1.5.2,,Skipped,,1.5.2,,Skipped,,1.5.2,,Skipped,,1.5.2,,Skipped,
allure-framework/allure-php-api,,,,,1.4.0,,Skipped,,1.4.0,,Skipped,,1.4.0,,Skipped,,1.4.0,,Skipped,,1.4.0,,Skipped,
allure-framework/allure-phpunit,,,,,1.5.0,,Skipped,,1.5.0,,Skipped,,1.5.0,,Skipped,,1.5.0,,Skipped,,1.5.0,,Skipped,
amasty/base,1.14.6,N/A,Unavailable,private_repo,1.19.1,N/A,Unavailable,private_repo,1.17.0,N/A,Unavailable,private_repo,1.17.0,N/A,Unavailable,private_repo,1.17.0,N/A,Unavailable,private_repo,1.17.0,N/A,Unavailable,private_repo
amasty/cron-schedule-list,1.0.6,N/A,Unavailable,private_repo,1.0.5,N/A,Unavailable,private_repo,1.0.7,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/customer-group-assign,,,,,1.0.5,N/A,Unavailable,private_repo,1.0.5,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/gdpr-cookie,2.9.5,Error,Error,,2.7.1,Error,Error,,2.13.0,Error,Error,,,,,,,,,,,,,
amasty/gdpr-frontend-ui,1.0.6,N/A,Unavailable,private_repo,,,,,1.4.0,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/geoip,1.5.7,Error,Error,,1.5.5,Error,Error,,1.7.0,Error,Error,,,,,,,,,,,,,
amasty/geoipredirect,1.3.10,Error,Error,,1.3.8,Error,Error,,1.3.8,Error,Error,,,,,,,,,,,,,
amasty/groupcat,,,,,1.8.3,N/A,Unavailable,private_repo,1.8.3,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/module-advanced-conditions,1.5.7,N/A,Unavailable,private_repo,1.5.4,N/A,Unavailable,private_repo,1.5.4,N/A,Unavailable,private_repo,1.5.11,N/A,Unavailable,private_repo,1.5.11,N/A,Unavailable,private_repo,1.5.11,N/A,Unavailable,private_repo
amasty/module-banners-lite,1.1.0,N/A,Unavailable,private_repo,1.0.19,N/A,Unavailable,private_repo,1.0.19,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/module-customer-attributes,,,,,2.3.2,N/A,Unavailable,private_repo,2.3.2,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/module-delivery-date-manager,,,,,,,,,1.0.3,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/module-extra-fee,1.6.7,N/A,Unavailable,private_repo,1.6.5,N/A,Unavailable,packagist,1.6.5,N/A,Unavailable,private_repo,1.7.0,N/A,Unavailable,private_repo,1.7.0,N/A,Unavailable,private_repo,1.7.0,N/A,Unavailable,private_repo
amasty/module-gdpr,2.9.4,Error,Error,,2.8.1,Error,Error,,2.11.0,Error,Error,,,,,,,,,,,,,
amasty/module-gdpr-pro,,,,,,,,,2.14.0,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/module-salesrulewizard,1.0.4,N/A,Unavailable,private_repo,1.0.3,N/A,Unavailable,private_repo,1.0.3,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/number,1.1.9,Error,Error,,,,,,,,,,,,,,,,,,,,,
amasty/orderattr,,,,,3.15.0,N/A,Unavailable,private_repo,3.12.1,N/A,Unavailable,private_repo,,,,,,,,,,,,
amasty/payrestriction,,,,,2.3.11,N/A,Unavailable,private_repo,2.3.11,N/A,Unavailable,private_repo,,,,,,,,,,,,
