Package,"Installed Version",Category,"PHP 8.4 Compatible?","Risk Level",Errors,Warnings,"Files Needing Changes","Action Required"
aheadworks/module-blog,2.15.0,"Third-Party Extension",YES,NONE,0,0,,"No action needed"
amasty/base,1.14.6,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/cron-schedule-list,1.0.6,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/gdpr-cookie,2.9.5,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/gdpr-frontend-ui,1.0.6,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/geoip,1.5.7,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/geoipredirect,1.3.10,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/module-advanced-conditions,1.5.7,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/module-banners-lite,1.1.0,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/module-extra-fee,1.6.7,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/module-gdpr,2.9.4,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/module-salesrulewizard,1.0.4,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/number,1.1.9,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/promo,2.13.0,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
amasty/rgrid,1.0.9,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Amasty Composer keys expired - needs project-level keys"
braintree/braintree_php,6.5.1,"Payment Gateway",YES,NONE,0,0,,"No action needed"
bsscommerce/disable-compare,1.0.2,"Third-Party Extension",UNKNOWN,UNKNOWN,N/A,N/A,,"Requires valid Composer auth to download and scan"
dowlis/custom-tweaks-v1,v1.0.4,"Custom (Client)",YES,NONE,0,0,,"No action needed"
elasticsearch/elasticsearch,v7.17.1,"Search Engine",NO,NONE,2,0,vendor/elasticsearch/elasticsearch/src/Elasticsearch/Endpoints/Indices/Split.php,"False positive - Split is a class name, not PHP split()"
eway/eway-rapid-apple-pay,1.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-direct-connection,3.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-google-pay,1.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-iframe,3.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-magento2,3.1.2,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-php,1.4.1,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-secure-fields,3.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-shared-page,3.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
eway/eway-rapid-transparent-redirect,3.1.0,"Payment Gateway",YES,NONE,0,0,,"No action needed"
fastly/magento2,1.2.196,"CDN / Caching",N/A,-,-,-,,"Infrastructure package - not applicable"
getjohn/m2-promoserve-integration,v1.6.0,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/magento-security-patches,v1.0.6,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/magento2-cli-store-creator,v1.2.3,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-customsprice,v1.1.1,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-ewayrapidoverride,v1.1.6,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-magento-module-checkout-override,1.0.1,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-magento-module-customer-override,1.0.1,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-mageworxgiftcards-cisco-override,v1.1.8,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-mageworxgiftcardsoverride,1.0.0,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-pitbulksaml2override,v1.2.0,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-squareoverride,v1.4.1.2,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-wics-connector-override,v1.1.3,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/module-xtento-pdf-api,1.0.3,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
getjohn/punchouthub-m2-module,v1.4.3,"Custom (GetJohn)",YES,NONE,0,0,,"No action needed"
graylog2/gelf-php,1.7.1,Logging,N/A,-,-,-,,"Infrastructure package - not applicable"
guzzlehttp/guzzle,7.5.0,"HTTP Client",YES,NONE,0,0,,"No action needed"
guzzlehttp/promises,1.5.2,"HTTP Client","YES (warnings)",LOW,0,3,vendor/guzzlehttp/promises/src/Utils.php,"Resolved by Magento upgrade to 2.4.7+"
guzzlehttp/psr7,2.4.3,"HTTP Client",YES,NONE,0,0,,"No action needed"
justuno.com/core,1.4.4,"Third-Party Extension","YES (warnings)",LOW,0,6,"vendor/justuno.com/core/lib/Core/text/format.php; vendor/justuno.com/core/lib/Framework/fs/main.php; vendor/justuno.com/core/lib/Framework/fs/path.php","Low risk - likely variable names not function calls"
justuno.com/m2,1.8.2,"Third-Party Extension",YES,NONE,0,0,,"No action needed"
klaviyo/magento2-extension,4.0.9,"Third-Party Extension","YES (warnings)",LOW,0,3,"vendor/klaviyo/magento2-extension/Test/Unit/Setup/InstallDataTest.php; vendor/klaviyo/magento2-extension/Test/Unit/Setup/UninstallTest.php; vendor/klaviyo/magento2-extension/Test/Unit/Setup/UpgradeDataTest.php","False positive - empty test files"
laminas/laminas-captcha,2.16.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-code,4.5.2,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-config,3.8.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-db,2.17.0,"Magento Core Dep (Laminas)",NO,MEDIUM,14,0,"vendor/laminas/laminas-db/src/Adapter/Adapter.php; vendor/laminas/laminas-db/src/Adapter/Driver/Pdo/Pdo.php; vendor/laminas/laminas-db/src/Metadata/Object/AbstractTableObject.php; vendor/laminas/laminas-db/src/Metadata/Object/ColumnObject.php; vendor/laminas/laminas-db/src/Metadata/Object/ConstraintKeyObject.php; vendor/laminas/laminas-db/src/Metadata/Object/ConstraintObject.php; vendor/laminas/laminas-db/src/Metadata/Object/TableObject.php; vendor/laminas/laminas-db/src/Metadata/Object/TriggerObject.php; vendor/laminas/laminas-db/src/Metadata/Object/ViewObject.php; vendor/laminas/laminas-db/src/Sql/Platform/Platform.php","Magento core dep - resolved by upgrading to Magento 2.4.7+"
laminas/laminas-dependency-plugin,2.2.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-di,3.12.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-escaper,2.10.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-eventmanager,3.10.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-feed,2.20.0,"Magento Core Dep (Laminas)","YES (warnings)",LOW,0,1,vendor/laminas/laminas-feed/src/Reader/Reader.php,"track_errors INI deprecated - resolved by Magento 2.4.7+ upgrade"
laminas/laminas-http,2.18.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-json,3.5.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-loader,2.9.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-mail,2.22.0,"Magento Core Dep (Laminas)","YES (warnings)",LOW,0,1,vendor/laminas/laminas-mail/src/Protocol/Imap.php,"Magento core dep - resolved by upgrading to Magento 2.4.7+"
laminas/laminas-mime,2.11.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-modulemanager,2.14.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-mvc,3.6.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-recaptcha,3.6.0,"Magento Core Dep (Laminas)",NO,MEDIUM,4,0,vendor/laminas/laminas-recaptcha/src/MailHide.php,"Magento core dep - resolved by upgrading to Magento 2.4.7+"
laminas/laminas-router,3.11.1,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-server,2.13.1,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
laminas/laminas-servicemanager,3.20.0,"Magento Core Dep (Laminas)",YES,NONE,0,0,,"No action needed"
